"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000211753",324.617283626117,0.801359969656353,0.191667092303644,4.18099925253115,2.90230818412766e-05,0.0247679515247088,"TRBV28"
"ENSG00000286431",42.0528183674451,0.588962509876405,0.140452904340271,4.19330958404066,2.74913850690315e-05,0.0247679515247088,NA
"ENSG00000197093",305.35593044754,0.430687541248427,0.103992960194895,4.14150669854255,3.45031794495499e-05,0.0272045247395612,"GAL3ST4"
"ENSG00000184368",7.57895456540299,1.48302600680253,0.360270659212448,4.11642183142092,3.84799753911492e-05,0.0292938764382896,"MAP7D2"
"ENSG00000071246",509.249717579409,-0.597185716464054,0.146578621008346,-4.07416656232596,4.6179423530741e-05,0.0328871978480055,"VASH1"
"ENSG00000151632",13.2851876600484,1.26128184120587,0.309316558528711,4.0776408712332,4.54949656655272e-05,0.0328871978480055,"AKR1C2"
"ENSG00000138640",491.731469484278,0.322770902147534,0.0804051787495819,4.01430488890259,5.96212386009998e-05,0.0344179677201628,"FAM13A"
"ENSG00000196565",1483.33965332315,2.01695076835369,0.503008490368149,4.009774798985,6.07766850079264e-05,0.0344179677201628,"HBG2"
"ENSG00000211697",22.8899373713681,1.01816759894804,0.252482102372741,4.03263276636103,5.51554355660773e-05,0.0344179677201628,"TRGV5"
"ENSG00000211747",548.32266654325,0.560240360021718,0.140335616134143,3.99214665139746,6.5477856785199e-05,0.0344179677201628,"TRBV20-1"
"ENSG00000223510",3.96087028965913,1.55144594897889,0.386188125816455,4.01733208575205,5.88607485885611e-05,0.0344179677201628,"CDRT15"
"ENSG00000258689",8.78122420774722,1.11276604092336,0.274929575367691,4.04745847890372,5.17767628782419e-05,0.0344179677201628,NA
"ENSG00000280099",10.0991262083572,0.753126216964921,0.185949256079713,4.0501706371015,5.11802988342283e-05,0.0344179677201628,NA
"ENSG00000288954",48.1112523060337,-0.725162679964014,0.180931297627677,-4.00794494635342,6.12493930747214e-05,0.0344179677201628,NA
"ENSG00000289474",7.33065109926208,-1.60930930006065,0.402667660680688,-3.99661919047634,6.42535372532455e-05,0.0344179677201628,NA
"ENSG00000290109",38.8436919997481,0.764161710963326,0.190962319693524,4.00163609339125,6.29059961918398e-05,0.0344179677201628,NA
"ENSG00000291035",93.454260211238,0.490774888880262,0.122156285091518,4.017598345534,5.8794300365243e-05,0.0344179677201628,"RRP7BP"
"ENSG00000133985",754.056256399915,0.485849953210169,0.122800153897348,3.95642788539422,7.60788405838366e-05,0.0390602921760317,"TTC9"
"ENSG00000156453",44.2514650148325,-0.823895785506003,0.209740891000618,-3.92816003391334,8.55982456732689e-05,0.0429489197665627,"PCDH1"
"ENSG00000153157",15.688194237002,-1.27360632455318,0.324818008723656,-3.92098433691441,8.81879955689582e-05,0.0432650306261309,"SYCP2L"
"ENSG00000277476",163.737618303063,0.268321377779902,0.068582430508077,3.91239236918413,9.13862718108655e-05,0.0438594504949669,NA
"ENSG00000166025",28.4785975445608,-0.587702628956467,0.150532516412986,-3.9041573406247,9.45542542220939e-05,0.0444143461800248,"AMOTL1"
"ENSG00000235890",32.8633352223457,0.92549261318732,0.238399923539335,3.88210113261474,0.000103557789690091,0.0476301108955861,"TSPEAR-AS1"
"ENSG00000230317",7.59372547695178,0.839277590003728,0.216848816712561,3.87033511516095,0.000108685846782871,0.0479891487885088,"LINC01284"
"ENSG00000280231",17.2122461385537,0.595529566400362,0.153683100961174,3.87504912821101,0.000106603190110261,0.0479891487885088,NA
