"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000225698",138.971538457835,-1.86581391851735,0.427724896331347,-4.36218217485276,1.28771573417234e-05,0.00910576330716549,"IGHV3-72"
"ENSG00000211669",342.132241069911,-2.26497043005573,0.521817213618965,-4.34054372094675,1.42130584251024e-05,0.00971076760341356,"IGLV3-10"
"ENSG00000120833",224.166753873121,0.81774783481194,0.18992597964993,4.30561335694679,1.6652369000278e-05,0.0103037430853986,"SOCS2"
"ENSG00000121297",394.38816898716,-0.824689116129159,0.19162773651569,-4.30359994395506,1.68044988220025e-05,0.0103037430853986,"TSHZ3"
"ENSG00000182809",462.710898621635,1.39005912640379,0.32249725718976,4.31029751544793,1.63035052235361e-05,0.0103037430853986,"CRIP2"
"ENSG00000276775",158.195619808653,-2.00357046680168,0.463885506042198,-4.31910555666169,1.56662842087708e-05,0.0103037430853986,"IGHV4-4"
"ENSG00000005381",338.690440587685,-1.36928303644407,0.31963303605024,-4.28392212946614,1.83627203685794e-05,0.010977693304346,"MPO"
"ENSG00000213557",20.5294039708673,-1.41907758062245,0.332618079552422,-4.2663873910041,1.9866369798464e-05,0.0115869390485529,"RPL31P43"
"ENSG00000128254",13.8228761377776,1.01684519692265,0.240129976297303,4.23456168447581,2.28997922170609e-05,0.0120845716462244,"YWHAH-AS1"
"ENSG00000134824",469.036714712032,-1.40408566692991,0.331462878369886,-4.23602689337374,2.27509540351614e-05,0.0120845716462244,"FADS2"
"ENSG00000135643",32.4778557173784,0.958050607610134,0.226046143800295,4.23829662166918,2.25222078343757e-05,0.0120845716462244,"KCNMB4"
"ENSG00000227191",432.861757150825,0.859262153380648,0.203461407761855,4.22321934578565,2.40837222513786e-05,0.0120845716462244,"TRGC2"
"ENSG00000237917",8.66638399995288,-2.8963783036157,0.684659105305543,-4.23039477773852,2.33281545562716e-05,0.0120845716462244,"PARP4P1"
"ENSG00000254505",84.3399503426996,0.475717971370064,0.111893062166619,4.2515412676943,2.12304379344245e-05,0.0120845716462244,"CHMP4A"
"ENSG00000275895",58.6420561030396,-1.8055973753222,0.427704180247344,-4.22160329197159,2.42570751900125e-05,0.0120845716462244,"LOC102724594"
"ENSG00000271538",14.473396332417,1.2714941769196,0.301716209888871,4.21420571797557,2.50658741583601e-05,0.0122326581377319,NA
"ENSG00000004777",272.163855073518,0.554777852627287,0.132227765916707,4.19562297510762,2.72122589657718e-05,0.0127593480127157,"ARHGAP33"
"ENSG00000239855",182.376535199022,-1.50500411121174,0.358500760563608,-4.19804998138829,2.69223219870026e-05,0.0127593480127157,"IGKV1-6"
"ENSG00000108515",321.44507867988,0.496203699651143,0.118941847000854,4.17181767530129,3.02179392474772e-05,0.0138961842543254,"ENO3"
"ENSG00000211976",91.6242258899566,-1.36770540805848,0.328914361333201,-4.15824168490152,3.20706617212797e-05,0.0143305001525186,"IGHV3-73"
"ENSG00000291099",41.1766566440392,0.814789732468206,0.196042817990143,4.15618251574599,3.23609337279305e-05,0.0143305001525186,NA
"ENSG00000188001",41.2587374498009,0.925035558137355,0.223657340302161,4.13594991734961,3.53489287423369e-05,0.0153690715093728,"TPRG1"
"ENSG00000132182",5738.10231876713,0.810346427456492,0.19673125240002,4.11905285800138,3.80432880414134e-05,0.0162451633381128,"NUP210"
"ENSG00000133328",25.8022162797928,-1.83545789956957,0.446552619458254,-4.11028358045756,3.95173504277987e-05,0.0162927310479302,"PLAAT2"
"ENSG00000225544",44.914303950242,1.27845480717234,0.310972950065148,4.111144737523,3.93702293540049e-05,0.0162927310479302,"MPPE1P2"
"ENSG00000143369",28.3420520710505,0.969106925603811,0.237693161708567,4.07713422901085,4.55941742507513e-05,0.0174431905077956,"ECM1"
"ENSG00000181790",61.5185377579345,0.775158039555032,0.19020880452796,4.07530051765342,4.59549618195593e-05,0.0174431905077956,"ADGRB1"
"ENSG00000211663",952.002748342419,-1.56494799643951,0.383229053765797,-4.08358390644334,4.43464065581733e-05,0.0174431905077956,"IGLV3-19"
"ENSG00000224373",509.874313540908,-1.57120419535057,0.385216509224685,-4.07875612214257,4.52773026782568e-05,0.0174431905077956,"IGHV4-59"
"ENSG00000282499",48.7191731868117,0.939091357402634,0.22981037289287,4.08637497768827,4.38165420881174e-05,0.0174431905077956,"TRBV25-1"
"ENSG00000211655",112.115618127343,-1.37843975713486,0.339298398080282,-4.06261793434316,4.85254176532336e-05,0.0181310673803402,"IGLV1-36"
"ENSG00000009694",152.372255228397,-1.29855436477777,0.320083300101365,-4.05692632001275,4.97227593924014e-05,0.0182926206976999,"TENM1"
"ENSG00000274576",106.297696665666,-2.01026754986124,0.497518880097389,-4.04058545369721,5.33179325800749e-05,0.0193180563907171,"IGHV2-70"
"ENSG00000211962",200.985023020275,-1.54355549074872,0.383169361434517,-4.0283896524762,5.61602093891277e-05,0.020044165479436,"IGHV1-46"
"ENSG00000181982",349.103802734985,-0.504346179953094,0.125613934374211,-4.01504962379903,5.94332886234203e-05,0.020900415159586,"CCDC149"
"ENSG00000280099",10.6182797095454,0.942028826140523,0.235423488831077,4.00142241888385,6.29628395637743e-05,0.0218207301809933,NA
"ENSG00000211653",1379.03384073929,-1.56310698482178,0.39122279500425,-3.99543943957763,6.45743630361731e-05,0.0220595249040572,"IGLV1-40"
"ENSG00000254815",44.7236032487568,0.889067656978395,0.222728771911265,3.99170546916407,6.55998158226564e-05,0.0220942027572843,"LMNTD2-AS1"
"ENSG00000196421",63.9417802551542,1.30742931371524,0.328681219597048,3.97780352439395,6.95548066189797e-05,0.0231008901483286,"C20orf204"
"ENSG00000211782",76.6126713965972,1.14824016303086,0.289808941913593,3.96205912574363,7.4306132306562e-05,0.0243408567376276,"TRAV8-1"
"ENSG00000183793",53.5946058636062,1.17919582741123,0.298660207228478,3.94828570687066,7.87128310080312e-05,0.0251333819291372,"NPIPA5"
"ENSG00000211892",1002.33113949644,-1.79965065509026,0.455845849013177,-3.94793691548617,7.88275684642367e-05,0.0251333819291372,"IGHG4"
"ENSG00000187624",38.9129029503548,-1.57264398452077,0.399565340769648,-3.93588688521263,8.28900107551402e-05,0.0254472490379771,"LIAT1"
"ENSG00000241566",25.7020340607622,-1.48060844963077,0.376150314185519,-3.93621484229449,8.27768738605434e-05,0.0254472490379771,"IGKV2D-24"
"ENSG00000280022",12.8693818295447,1.91048402074474,0.485442012226535,3.93555558156593,8.30044505065116e-05,0.0254472490379771,NA
"ENSG00000211696",39.0287665392564,1.27946999489118,0.326472646806555,3.91907256980493,8.88903497850671e-05,0.0269067713216495,"TRGV8"
"ENSG00000174837",1250.81416516967,-0.77742092501802,0.198738180183242,-3.91178446084803,9.16166610841375e-05,0.0273853652063123,"ADGRE1"
"ENSG00000187116",9455.29805243953,-1.07717516309715,0.276100943983396,-3.90138167423987,9.56452102894901e-05,0.028236591526575,"LILRA5"
"ENSG00000242076",429.972390519953,-1.57112185733174,0.403121668803554,-3.89738875113004,9.72354653458489e-05,0.0283559961318937,"IGKV1-33"
"ENSG00000104936",439.156633087651,0.573961134833838,0.147982870348329,3.87856468443153,0.000105074588998188,0.0289120515624208,"DMPK"
"ENSG00000134873",6.97777971349524,2.0910499780658,0.538932200944467,3.87998708260757,0.000104462012393866,0.0289120515624208,"CLDN10"
"ENSG00000211598",2761.12514808706,-1.33285672430486,0.343193285583429,-3.88369114517787,0.000102882581284001,0.0289120515624208,"IGKV4-1"
"ENSG00000211673",1132.57928965849,-1.50992133541017,0.389325224849704,-3.87830337988776,0.000105187491570719,0.0289120515624208,NA
"ENSG00000211697",26.8696357089988,1.32618408065484,0.341557804945703,3.88275150341143,0.000103281101895923,0.0289120515624208,"TRGV5"
"ENSG00000272734",98.887556082683,0.596823776402986,0.154077394446163,3.87353237993343,0.000107269146959138,0.0291491717185668,NA
"ENSG00000140009",89.0332028855006,0.816868886429768,0.211485185258167,3.86253479378515,0.000112216576600222,0.0294019115339423,"ESR2"
"ENSG00000149657",1226.13225473036,-0.353408688534384,0.0913890588877864,-3.86707876014264,0.000110146862499072,0.0294019115339423,"LSM14B"
"ENSG00000182463",104.740279110149,0.744756853954477,0.192946807489103,3.85990762763223,0.000113429894974716,0.0294019115339423,"TSHZ2"
"ENSG00000182890",20.2131961482841,-0.648946952889624,0.168150805713494,-3.85931515544052,0.000113705224325651,0.0294019115339423,"GLUD2"
"ENSG00000289519",38.2154247228145,0.702378560042482,0.182060540220332,3.85793955786605,0.000114346914760032,0.0294019115339423,NA
"ENSG00000164175",4.25432565289182,2.6044253209598,0.677440640180684,3.84450705565163,0.00012079500977628,0.0304060112503178,"SLC45A2"
"ENSG00000243290",689.404312270361,-1.6992556573288,0.44197612193868,-3.84467751306383,0.000120711077980818,0.0304060112503178,"IGKV1-12"
"ENSG00000159445",815.119054726047,0.562547826568179,0.146425542700489,3.84186950031568,0.000122100752906031,0.0304145344191866,"THEM4"
"ENSG00000211640",362.340796069291,-1.32578097323463,0.345631338333767,-3.83582397251942,0.000125144019584674,0.0305423554645675,"IGLV6-57"
"ENSG00000211679",2799.38981686365,-1.48112218537345,0.386133629970255,-3.83577619356165,0.000125168353428161,0.0305423554645675,"IGLC3"
"ENSG00000172322",3256.77700685718,-1.17667503640627,0.307012735832244,-3.83265871110056,0.000126765763338146,0.0305696777140971,"CLEC12A"
"ENSG00000234912",205.324821487364,0.347881885598701,0.0908168215479181,3.83058864722706,0.000127837066508163,0.0305696777140971,"SNHG20"
"ENSG00000211895",24714.3972769968,-1.30428650258159,0.341089783421595,-3.82388029772636,0.000131367711628053,0.0311029315659568,"IGHA1"
"ENSG00000177943",177.915502499303,0.632577205400468,0.165535319478574,3.82140323523129,0.00013269447941554,0.0311090498653314,"MAMDC4"
"ENSG00000130396",205.707772830899,-0.897798648466066,0.235441734461754,-3.81325193054041,0.000137150181136,0.0317123415757744,"AFDN"
"ENSG00000159461",1408.83109454866,-0.271886096446396,0.0713261956180833,-3.81186875439442,0.000137920107217017,0.0317123415757744,"AMFR"
