"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol","SRR18180094","SRR18180095","SRR18180096","SRR18180097","SRR18180098","SRR18180099","SRR18180100","SRR18180101","SRR18180102","SRR18180103","SRR18180104","SRR18180105","SRR18180106","SRR18180107","SRR18180108","SRR18180109","SRR18180110","SRR18180111","SRR18180112","SRR18180113","SRR18180114","SRR18180115","SRR18180116","SRR18180117"
"153","ENSG00000138942",622.177022212722,-0.291874103932238,0.106331265288955,-2.74495091485152,0.00605199489705797,0.999991507584447,"RNF185",637.685923136009,775.465889450111,651.767857373832,703.682568423613,512.278566890604,652.435697381847,609.23742175837,589.024197847089,616.377146829297,502.023046883995,723.83804674684,580.694218457703,483.946018740453,658.512638322179,466.762014067953,1059.36245190895,633.361455657966,625.314334093045,467.034653086973,565.013199518782,589.339786062456,673.711224482122,541.064155176287,614.316020808841
"154","ENSG00000140092",96.8496471845263,-0.837449197166146,0.272448715221915,-3.07378655276104,0.00211360595537447,0.999991507584447,"FBLN5",123.701479826384,87.5222423772577,92.6684157403553,104.703438465176,81.6018956108927,94.5032207906854,77.2123815770157,33.4557633889052,181.227167755458,66.4867374951932,88.1783965916498,43.379534146246,56.0959039404455,125.725417645236,154.898898473878,151.51491105849,59.1391720644486,133.263710544419,47.925085125625,123.906403403242,44.478474419808,177.711228505127,23.2607019982329,151.830951484462
"155","ENSG00000140750",1595.09092044972,-0.209058111278516,0.0740561289248206,-2.82296839321354,0.00475812621407902,0.999991507584447,"ARHGAP17",1462.3624553119,1700.56658038392,1647.43850205076,2134.62956078101,1431.65992410666,1705.60139830881,1651.07572111947,1696.10582271632,1390.43216842888,1437.65525134534,1950.58365207683,1786.44808802268,1342.49858243914,1485.00267890807,1511.81324910505,1906.35564323592,1457.49443410448,1563.28583523261,1384.18922333423,1828.85851423185,1356.59346980414,1601.16932747654,1342.04137181109,1508.32063645748
"156","ENSG00000141469",224.698213710333,0.657019193642004,0.224845401520025,2.92209308796333,0.00347687607583036,0.999991507584447,"SLC14A1",165.894232635383,122.342919452081,201.811216501218,214.123248032386,253.872564122777,184.463017504896,217.886994587195,347.737177042257,147.439051733254,306.417138021325,167.635852861049,127.180906928767,241.497620353782,312.252471692676,256.099512143479,42.2254670163005,173.602085737575,100.460335641178,439.78313409397,233.93528962532,188.022641865552,391.672011083439,407.56795240382,148.834287968321
"157","ENSG00000142178",24.814250558988,1.43332748832614,0.534371987111493,2.68226539357702,0.00731254222539634,0.999991507584447,"SIK1",24.9320812053176,7.52879504320496,9.26684157403553,8.48946798366289,100.642337920101,40.8908166882773,21.1540771443879,3.04143303535502,1.02388230370315,17.3443663030939,9.68993369139009,0,159.730709525336,4.12214484082741,4.13063729263675,0,6.67700329759904,30.7531639717891,10.3367830663113,12.8862659539371,14.152241860848,38.0178250035843,65.7367665167451,4.99443919356781
"158","ENSG00000143252",862.710647504139,-0.271471408810894,0.102138260595978,-2.65788165205531,0.00786335008275273,0.999991507584447,"SDHC",802.621229571187,930.747287216214,944.188191487842,1016.84960959873,689.082674047539,809.638170427891,877.894201492096,733.999172532345,916.37466181432,819.039519868322,1032.94693150218,1016.46135692681,771.080984672903,995.49797905982,680.522493961905,1563.5842051036,793.609534800343,828.285216306853,743.308673222929,726.587149556609,741.981823275888,771.850261119282,695.79839020801,803.105822325705
"159","ENSG00000143977",479.816970397627,-0.353063586269718,0.116454639003736,-3.03176918747212,0.00243125032093978,0.999991507584447,"SNRPG",447.818535495513,451.727702592298,474.668218403375,555.588515819716,340.91458610773,414.360275774544,468.562808748191,368.013397277958,593.851736147827,443.244916634621,608.527835819298,536.328785808133,441.161007260453,482.290946376807,376.920652953104,981.121145378747,413.97420445114,565.858217080919,342.993256291238,375.684215118628,417.491134895016,442.067732599818,448.021347183355,524.416115324621
"160","ENSG00000147257",6.58932374339648,-1.5488631612443,0.592397815050381,-2.61456595870897,0.00893409084616694,0.999991507584447,"GPC3",1.91785240040905,1.88219876080124,12.3557887653807,8.48946798366289,3.62675091603968,24.5344900129664,0,2.02762202357001,8.1910584296252,19.2715181145487,3.87597347655604,3.9435940132951,3.80311213155563,12.3664345224822,1.03265932315919,2.48385100095885,0,5.12552732863151,11.2764906177941,10.9037634994853,1.010874418632,15.0303029083938,0,4.99443919356781
"161","ENSG00000148688",346.686354255865,-0.228717373504566,0.0820445035272423,-2.7877232925009,0.00530798601808522,0.999991507584447,"RPP30",350.966989274856,387.732944725056,356.258576068477,364.103849077097,303.740389218323,388.008416130987,290.868560735333,303.129492523717,416.720097607182,334.360839287421,404.070234930967,399.288893846128,315.658306919117,345.229630419296,298.438544393005,389.96460715054,337.665595335723,342.385225552585,389.038926313897,357.841693028562,270.914344193376,364.26381166225,284.185098326237,325.637435420622
"162","ENSG00000148803",110.774927254422,-0.386268662820997,0.141174504813035,-2.73610779320638,0.00621706570340136,0.999991507584447,"FUOM",97.8104724208615,106.34422998527,93.698064804137,133.001665077385,66.1882042177241,74.5121548541942,106.828089579159,84.1463139781556,135.152464088816,69.3774652123755,96.8993369139009,112.39242937891,107.437917716446,100.992548600272,89.8413611148494,253.352802097803,104.924337533699,160.94155811903,107.126660869044,124.897654630467,99.0656930259361,109.632797684755,104.167491557304,119.866540645628
"163","ENSG00000149531",223.538187236139,-0.450378223878205,0.153049553227127,-2.9426954498184,0.00325368327835213,0.999991507584447,NA,200.415575842746,182.57327979772,278.005247221066,292.415008326166,154.136913931686,172.65011490606,213.656179158317,96.3120461195757,153.582345555473,242.821128243314,252.907269345281,287.882362970542,233.891396090671,281.336385386471,213.760479893952,402.383862155334,98.2473342361002,234.749151651323,216.132736841054,260.69907276042,89.967823258248,269.661316885889,270.026410153399,266.703052936521
"164","ENSG00000151208",272.165788629823,0.685146003482931,0.235482349147223,2.90954292737491,0.00361957675641101,0.999991507584447,"DLG5",130.413963227815,114.814124408876,266.679107519467,298.074653648608,424.329857176642,261.701226804975,682.218987906509,347.737177042257,141.295757911035,211.986699260036,152.131958954824,105.491139855644,497.256911200898,329.771587266193,272.622061314026,202.433856578147,187.909949946716,109.686284832714,360.847699769412,369.736707755273,170.837776748808,286.459890724682,504.656099874705,102.885447387497
