"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol","SRR33775201","SRR33775202","SRR33775203","SRR33775204","SRR33775205","SRR33775206","SRR33775207","SRR33775208","SRR33775209","SRR33775211","SRR33775212"
"1","ENSG00000290059",110.710001689481,-5.38049337934563,0.840461093514726,-6.40183516032246,1.5352036621172e-10,3.71611398452089e-06,NA,10.2835718488922,2.78033085390662,7.09451100761413,6.83317895179704,0,6.97537793259853,37.4370651012716,272.892021521103,289.247070062173,568.819558316889,15.44733298805
"2","ENSG00000137801",19602.4216615423,-4.882621304366,0.814685322174474,-5.9932604300932,2.05675073782318e-09,2.48928541798739e-05,"THBS1",1330.00862579006,377.198219179998,429.540393733728,1020.62845616387,4556.90811286005,714.97623809135,4735.14326867119,67407.4780698068,14841.6731256902,111787.850899746,8425.23286723228
"3","ENSG00000155659",520.998523638472,-3.7036165902621,0.629743435161034,-5.88115156661385,4.07421864224121e-09,3.28735121513636e-05,"VSIG4",113.119290337814,91.7509181789184,101.258020745038,63.3622048257544,66.0421465631891,47.9557232866149,426.007982186884,257.148251048731,1850.92752289785,2495.86176037069,217.549939581705
"4","ENSG00000206177",37.9697383700841,7.16461130096548,1.27310341288232,5.62767425526314,1.82655606391322e-08,0.000110534040207709,"HBM",91.4095275457085,235.40134563076,8.38442209990761,14.9087540766481,49.5316099223918,15.6946003483467,0,1.04958469815809,0,0,1.28727774900417
"5","ENSG00000109321",1125.65936367459,-4.14511680983726,0.789821190414153,-5.24817118120585,1.53616527002175e-07,0.000743688330522929,"AREG",235.379533430199,297.495401368008,87.0689987298098,57.1502239604843,37.4238830524738,72.3695460507098,373.079717733362,2715.27561413497,1569.29221783732,6747.20075727053,190.517106852617
"6","ENSG00000087116",1434.44478579014,-4.21262324653023,0.820544340801853,-5.13393735969657,2.83742567344692e-07,0.00114471209752427,"ADAMTS2",314.220250938373,80.6295947632919,118.671820491,93.8009110655776,315.901601060588,36.6207341461423,858.47063077054,1688.78177933636,4560.71586348031,7637.70462594616,73.3748316932376
"7","ENSG00000180644",2220.01751984634,1.6540623203919,0.328621161580478,5.03334086105963,4.82004965149449e-07,0.00166677316948679,"PRF1",3198.19084500547,2320.64948606072,2962.28082345197,3133.94434652873,4928.94553849935,2763.99350579217,624.81170720743,766.196829655404,1000.94709771515,1288.77968150074,1431.45285689264
"8","ENSG00000072134",147.584315513499,-2.72137019547616,0.55864329322518,-4.87139150953563,1.10815006567017e-06,0.00274202023467281,"EPN2",53.7030974331037,71.3618252502698,33.5376883996304,23.6055272880261,34.1217757243144,34.0049674214179,58.0919975709388,212.016109027934,654.611790140707,166.458865360239,281.913827031913
"9","ENSG00000211810",22.8470660141796,3.73520481347867,0.767003582627696,4.86986618847613,1.11673847579519e-06,0.00274202023467281,"TRAV29DV5",21.7097627921058,25.9497546364618,89.6488209143968,47.2110545760523,28.6182635107153,23.5419005225201,1.29093327935419,1.04958469815809,0,7.1485402301943,5.14911099601667
"10","ENSG00000223374",53.1877755572565,-2.06877270836904,0.425057130931715,-4.86704623407762,1.13278535680113e-06,0.00274202023467281,NA,19.424524603463,17.6087620747419,14.833977561375,34.7870928455122,18.7119415262369,24.4138227640949,40.01893165998,130.148502571603,112.907847524269,94.9734630582957,77.2366649402501
